PseudoCID,Client_Description,Client_Code,PubCode,Sales_Type,VoiceMail,InBnd_TranNo,Carrier,Status,PR_Date,LastUse_Date,DID_CNT,LeadFileID,Notes
1111110143,Amer. Fed. of Police & Concerned Citizens,AFPC,NARP,R,7382,8004904318,TouchTone,Active,2022-03-10,None,25,TT-031020220143,None
1111110243,Amer. Fed. of Police & Concerned Citizens,AFPC,NARP,R,7382,8004904318,CCI,Active,2023-01-31,None,50,CCI-013120230243,None
1111110280,American Breast Cancer Support Assoc.,ABCS,NAR1,R,7384,8009056057,CCI,Active,2021-02-16,None,1,CCI-021620210280,None
1111110407,"Arizona State Lodge, Fraternal Order of Police Inc.",AFOP,AZBF,B,7361,8005250676,CCI,Active,2023-01-06,None,25,CCI-010620230407,None
1111110406,"Arizona State Lodge, Fraternal Order of Police Inc.",AFOP,AZBF,B,7361,8005250676,CCI,Active,2023-01-18,None,50,CCI-011820230406,None
1111110490,"Arizona State Lodge, Fraternal Order of Police Inc.",AFOP,AZBF,B,7361,8005250676,CCI,Active,2023-04-04,None,50,CCI-040420230490,None
1111110491,"Arizona State Lodge, Fraternal Order of Police Inc.",AFOP,AZBF,B,7361,8005250676,CCI,Active,2023-04-04,None,50,CCI040420230491,None
1111110408,Autistic Children of America,ACOA,AZBF,B,7378,8006899497,CCI,Active,2022-11-08,None,25,,None
1111110409,Autistic Children of America,ACOA,AZBF,B,7378,8006899497,CCI,Active,2022-11-08,None,25,,None
1111110126,Autistic Children of America,ACOA,AZRF,R,7378,8006899497,TouchTone,Active,2022-12-19,None,50,,None
1111110127,Autistic Children of America,ACOA,AZRF,R,7378,8006899497,TouchTone,Active,2022-12-19,None,50,,None
1111110128,Autistic Children of America,ACOA,AZRF,R,7378,8006899497,TouchTone,Active,2022-12-19,None,50,,None
1111110129,Autistic Children of America,ACOA,AZRF,R,7378,8006899497,TouchTone,Active,2022-12-19,None,50,,None
1111110300,Autistic Children of America,ACOA,AZBF,B,7378,8006899497,TouchTone,Active,2022-12-30,None,50,,None
1111110301,Autistic Children of America,ACOA,AZBF,B,7378,8006899497,TouchTone,Active,2022-12-30,None,50,,None
1111110308,Autistic Children of America,ACOA,AZBF,B,7378,8006899497,TouchTone,Active,2022-12-30,None,50,,None
1111110309,Autistic Children of America,ACOA,AZBF,B,7378,8006899497,TouchTone,Active,2022-12-30,None,50,,None
1111110370,Autistic Children of America,ACOA,AZBF,B,7378,8006899497,TouchTone,Active,2022-12-30,None,50,,None
1111110410,Childhood Leukemia Foundation,CLF,NABG,B,7374,8006558660,CCI,Active,2022-11-08,None,25,,None
1111110411,Childhood Leukemia Foundation,CLF,NABG,B,7374,8006558660,CCI,Active,2022-11-08,None,25,,None
1111110109,Childhood Leukemia Foundation,CLF,NARG,R,7374,8006558660,TouchTone,Active,2021-10-26,None,50,,None
1111110146,Command Officers Assoc. of Michigan,COAM,MIRC,R,7389,8004977178,TouchTone,Active,2021-09-21,None,10,,None
1111110246,Command Officers Assoc. of Michigan,COAM,MIRC,R,7389,8004977178,CCI,Active,2021-09-28,None,10,,None
1111110313,Command Officers Assoc. of Michigan,COAM,MIBC,B,7389,8004977178,TouchTone,Active,2022-06-28,None,20,,None
1111110312,Command Officers Assoc. of Michigan,COAM,MIBC,B,7389,8004977178,TouchTone,Active,2022-09-23,None,25,,None
1111110181,Committee for Missing Children,CMC,NARM,R,7360,8005210301,TouchTone,Active,2021-02-22,None,1,,None
1111110147,Firefighters Charitable Foundation,FCF,NARF,R,7394,8004976964,TouchTone,Active,2021-09-21,None,10,,None
1111110416,Firefighters Charitable Foundation,FCF,NABF,B,7394,8004976964,CCI,Active,2022-11-08,None,25,,None
1111110417,Firefighters Charitable Foundation,FCF,NABF,B,7394,8004976964,CCI,Active,2022-11-08,None,25,,None
1111110247,Firefighters Charitable Foundation,FCF,NARF,R,7394,8004976964,CCI,Active,2023-01-31,None,50,,None
1111110148,Florida Highway Patrol Cmd Officers Assoc.,FHPC,FLRH,R,7364,8006539369,TouchTone,Active,2021-09-21,None,10,,None
1111110248,Florida Highway Patrol Cmd Officers Assoc.,FHPC,FLRH,R,7364,8006539369,CCI,Active,2021-09-28,None,10,,None
1111110492,Florida Highway Patrol Cmd Officers Assoc.,FHPC,FLBH,B,7364,8006539369,CCI,Active,2023-04-04,None,50,,None
1111110493,Florida Highway Patrol Cmd Officers Assoc.,FHPC,FLBH,B,7364,8006539369,CCI,Active,2023-04-04,None,50,,None
1111110149,Illinois Police Assoc.,IPA,ILRP,R,7369,8006561369,TouchTone,Active,2021-09-21,None,10,,None
1111110249,Illinois Police Assoc.,IPA,ILRP,R,7369,8006561369,CCI,Active,2021-09-28,None,10,,None
1111110494,Illinois Police Assoc.,IPA,ILBP,B,7369,8006561369,CCI,Active,2023-04-04,None,50,,None
1111110495,Illinois Police Assoc.,IPA,ILBP,B,7369,8006561369,CCI,Active,2023-04-04,None,50,,None
1111110282,Kentucky FOP,KFOP,KYRP,R,7367,8007467920,CCI,Active,2021-08-24,None,1,,None
1111110496,Kentucky FOP,KFOP,KYBP,B,7367,8007467920,CCI,Active,2023-04-04,None,50,,None
1111110497,Kentucky FOP,KFOP,KYBP,B,7367,8007467920,CCI,Active,2023-04-04,None,50,,None
1111110150,MI State Fraternal Order of Police FOP,MFOP,NA,R,7383,8009055395,TouchTone,Active,2021-09-21,None,5,,None
1111110250,MI State Fraternal Order of Police FOP,MFOP,NA,R,7383,8009055395,CCI,Active,2021-09-28,None,5,,None
1111110498,MI State Fraternal Order of Police FOP,MFOP,MIBF,B,7383,8009055395,CCI,Active,2023-04-04,None,50,,None
1111110499,MI State Fraternal Order of Police FOP,MFOP,MIBF,B,7383,8009055395,CCI,Active,2023-04-04,None,50,,None
1111110236,MPI All-Default,ALLDFLT,NA,R,7351,8006803192,CCI,Active,2023-04-03,None,50,,None
1111110237,MPI All-Default,ALLDFLT,NA,R,7351,8006803192,CCI,Active,2023-04-03,None,50,,None
1111110400,MPI All-Default,ALLDFLT,NA,B,7351,8006803192,CCI,Active,2023-01-18,None,50,,None
1111110480,MPI All-Default,ALLDFLT,NA,B,7351,8006803192,CCI,Active,2023-03-15,None,50,,None
1111110151,National Assoc. of Chiefs of Police,NACP,NARE,R,7373,8006539356,TouchTone,Active,2021-09-21,None,25,,None
1111110251,National Assoc. of Chiefs of Police,NACP,NARE,R,7373,8006539356,CCI,Active,2021-09-28,None,25,,None
1111110426,National Assoc. of Chiefs of Police,NACP,NABE,B,7373,8006539356,CCI,Active,2023-01-03,None,50,,None
1111110427,National Assoc. of Chiefs of Police,NACP,NABE,B,7373,8006539356,CCI,Active,2023-01-03,None,50,,None
1111110458,National Assoc. of Chiefs of Police,NACP,NABE,B,7373,8006539356,CCI,Active,2023-02-14,None,50,,None
1111110459,National Assoc. of Chiefs of Police,NACP,NABE,B,7373,8006539356,CCI,Active,2023-02-14,None,50,,None
1111110460,National Assoc. of Chiefs of Police,NACP,NABE,B,7373,8006539356,CCI,Active,2023-02-14,None,50,,None
1111110152,National Police & Troopers Assoc.,NPTA,NARQ,R,7357,8007436794,TouchTone,Active,2021-09-21,None,25,,None
1111110252,National Police & Troopers Assoc.,NPTA,NARQ,R,7357,8007436794,CCI,Active,2021-09-28,None,25,,None
1111110428,National Police & Troopers Assoc.,NPTA,NABQ,B,7357,8007436794,CCI,Active,2023-01-03,None,50,,None
