PseudoCID,Client_Description,Client_Code,PubCode,Sales_Type,VoiceMail,InBnd_TranNo,Carrier,Status,PR_Date,LastUse_Date,DID_CNT,Notes
1111110143,Amer. Fed. of Police & Concerned Citizens,AFPC,NARP,R,7382,8004904318,TouchTone,Active,2022-03-10,None,0,
1111110243,Amer. Fed. of Police & Concerned Citizens,AFPC,NARP,R,7382,8004904318,CCI,Active,2023-01-31,None,0,
1111110280,American Breast Cancer Support Assoc.,ABCS,NAR1,R,7384,8009056057,CCI,Active,2021-02-16,None,0,
1111110406,"Arizona State Lodge, Fraternal Order of Police Inc.",AFOP,AZBF,B,7361,8005250676,CCI,Active,2023-04-26,None,0,
1111110407,"Arizona State Lodge, Fraternal Order of Police Inc.",AFOP,AZBF,B,7361,8005250676,CCI,Active,2023-04-26,None,0,
1111110490,"Arizona State Lodge, Fraternal Order of Police Inc.",AFOP,AZBF,B,7361,8005250676,CCI,Active,2023-07-28,None,0,
1111110491,"Arizona State Lodge, Fraternal Order of Police Inc.",AFOP,AZBF,B,7361,8005250676,CCI,Active,2023-07-28,None,0,
1111110244,"Arizona State Lodge, Fraternal Order of Police Inc.",AFOP,AZRF,R,7361,8005250676,CCI,Active,2023-07-25,None,0,
1111110245,"Arizona State Lodge, Fraternal Order of Police Inc.",AFOP,AZRF,R,7361,8005250676,CCI,Active,2023-07-25,None,0,
1111110300,Autistic Children of America,ACOA,NABZ,B,7378,8006899497,TouchTone,Active,2022-12-30,None,0,
1111110301,Autistic Children of America,ACOA,NABZ,B,7378,8006899497,TouchTone,Active,2022-12-30,None,0,
1111110308,Autistic Children of America,ACOA,NABZ,B,7378,8006899497,TouchTone,Active,2022-12-30,None,0,
1111110309,Autistic Children of America,ACOA,NABZ,B,7378,8006899497,TouchTone,Active,2022-12-30,None,0,
1111110370,Autistic Children of America,ACOA,NABZ,B,7378,8006899497,TouchTone,Active,2022-12-30,None,0,
1111110408,Autistic Children of America,ACOA,NABZ,B,7378,8006899497,CCI,Active,2022-11-08,None,0,
1111110409,Autistic Children of America,ACOA,NABZ,B,7378,8006899497,CCI,Active,2022-11-08,None,0,
1111110130,Autistic Children of America,ACOA,NARZ,R,7378,8006899497,TouchTone,Active,2023-08-01,None,0,
1111110131,Autistic Children of America,ACOA,NARZ,R,7378,8006899497,TouchTone,Active,2023-08-01,None,0,
1111110132,Autistic Children of America,ACOA,NARZ,R,7378,8006899497,TouchTone,Active,2023-08-01,None,0,
