PseudoCID,Sales_Type,Carrier,Status
1111110100,R,TouchTone,A
1111110101,R,TouchTone,A
1111110102,R,TouchTone,A
1111110103,R,TouchTone,A
1111110104,R,TouchTone,A
1111110105,R,TouchTone,A
1111110106,R,TouchTone,A
1111110107,R,TouchTone,A
1111110108,R,TouchTone,A
1111110109,R,TouchTone,A
1111110110,R,TouchTone,A
1111110111,R,TouchTone,A
1111110112,R,TouchTone,A
1111110113,R,TouchTone,A
1111110114,R,TouchTone,A
1111110115,R,TouchTone,A
1111110116,R,TouchTone,A
1111110117,R,TouchTone,A
1111110118,R,TouchTone,I
1111110119,R,TouchTone,I
1111110120,R,TouchTone,A
1111110121,R,TouchTone,A
1111110122,R,TouchTone,A
1111110123,R,TouchTone,A
1111110124,R,TouchTone,A
1111110125,R,TouchTone,I
1111110126,R,TouchTone,I
1111110127,R,TouchTone,I
1111110128,R,TouchTone,I
1111110129,R,TouchTone,I
1111110130,R,TouchTone,A
1111110131,R,TouchTone,A
1111110132,R,TouchTone,A
1111110133,R,TouchTone,A
1111110134,R,TouchTone,A
1111110135,R,TouchTone,I
1111110136,R,TouchTone,I
1111110137,R,TouchTone,I
1111110138,R,TouchTone,I
1111110139,R,TouchTone,I
1111110140,R,TouchTone,I
1111110141,R,TouchTone,I
1111110142,R,TouchTone,I
1111110143,R,TouchTone,A
1111110144,R,TouchTone,I
1111110145,R,TouchTone,I
1111110146,R,TouchTone,A
1111110147,R,TouchTone,A
1111110148,R,TouchTone,A
1111110149,R,TouchTone,A
1111110150,R,TouchTone,A
1111110151,R,TouchTone,A
1111110152,R,TouchTone,A
1111110153,R,TouchTone,A
1111110154,R,TouchTone,I
1111110155,R,TouchTone,A
1111110156,R,TouchTone,A
1111110157,R,TouchTone,A
1111110158,R,TouchTone,A
1111110159,R,TouchTone,I
1111110160,R,TouchTone,A
1111110161,R,TouchTone,A
1111110162,R,TouchTone,A
1111110163,R,TouchTone,A
1111110164,R,TouchTone,A
1111110165,R,TouchTone,A
1111110166,R,TouchTone,A
1111110167,R,TouchTone,A
1111110168,R,TouchTone,A
1111110169,R,TouchTone,A
1111110170,R,TouchTone,A
1111110171,R,TouchTone,A
1111110172,R,TouchTone,A
1111110173,R,TouchTone,A
1111110174,R,TouchTone,A
1111110175,R,TouchTone,A
1111110176,R,TouchTone,I
1111110177,R,TouchTone,I
1111110178,R,TouchTone,I
1111110179,R,TouchTone,I
1111110180,R,TouchTone,I
1111110181,R,TouchTone,A
1111110182,R,TouchTone,I
1111110183,R,TouchTone,A
1111110184,R,TouchTone,A
1111110185,R,TouchTone,A
1111110186,R,TouchTone,I
1111110187,R,TouchTone,I
1111110188,R,TouchTone,I
1111110189,R,TouchTone,I
1111110190,R,TouchTone,I
1111110191,R,TouchTone,I
1111110192,R,TouchTone,I
1111110193,R,TouchTone,I
1111110194,R,TouchTone,I
1111110195,R,TouchTone,I
1111110196,R,TouchTone,I
1111110197,R,TouchTone,I
1111110198,R,TouchTone,I
1111110199,R,TouchTone,I
1111110200,R,CCI,A
1111110201,R,CCI,A
1111110202,R,CCI,A
1111110203,R,CCI,A
1111110204,R,CCI,A
1111110205,R,CCI,A
1111110206,R,CCI,A
1111110207,R,CCI,A
1111110208,R,CCI,A
1111110209,R,CCI,A
1111110210,R,CCI,A
1111110211,R,CCI,A
1111110212,R,CCI,A
1111110213,R,CCI,A
1111110214,R,CCI,A
1111110215,R,CCI,A
1111110216,R,CCI,A
1111110217,R,CCI,A
1111110218,R,CCI,A
1111110219,R,CCI,A
1111110220,R,CCI,A
1111110221,R,CCI,A
1111110222,R,CCI,A
1111110223,R,CCI,I
1111110224,R,CCI,A
1111110225,R,CCI,A
1111110226,R,CCI,A
1111110227,R,CCI,A
1111110228,R,CCI,A
1111110229,R,CCI,A
1111110230,R,CCI,A
1111110231,R,CCI,A
1111110232,R,CCI,A
1111110233,R,CCI,A
1111110234,R,CCI,A
1111110235,R,CCI,A
1111110236,R,CCI,A
1111110237,R,CCI,A
1111110238,R,CCI,I
1111110239,R,CCI,I
1111110240,R,CCI,I
1111110241,R,CCI,I
1111110242,R,CCI,I
1111110243,R,CCI,A
1111110244,R,CCI,A
1111110245,R,CCI,A
1111110246,R,CCI,A
1111110247,R,CCI,A
1111110248,R,CCI,A
1111110249,R,CCI,A
1111110250,R,CCI,A
1111110251,R,CCI,A
1111110252,R,CCI,A
1111110253,R,CCI,A
1111110254,R,CCI,I
1111110255,R,CCI,A
1111110256,R,CCI,A
1111110257,R,CCI,A
1111110258,R,CCI,A
1111110259,R,CCI,A
1111110260,R,CCI,A
1111110261,R,CCI,A
1111110262,R,CCI,A
1111110263,R,CCI,A
1111110264,R,CCI,A
1111110265,R,CCI,A
1111110266,R,CCI,A
1111110267,R,CCI,A
1111110268,R,CCI,A
1111110269,R,CCI,A
1111110270,R,CCI,I
1111110271,R,CCI,I
1111110272,R,CCI,I
1111110273,R,CCI,I
1111110274,R,CCI,I
1111110275,R,CCI,I
1111110276,R,CCI,I
1111110277,R,CCI,I
1111110278,R,CCI,I
1111110279,R,CCI,I
1111110280,R,CCI,A
1111110281,R,CCI,I
1111110282,R,CCI,A
1111110283,R,CCI,A
1111110284,R,CCI,A
1111110285,R,CCI,A
1111110286,R,CCI,A
1111110287,R,CCI,A
1111110288,R,CCI,A
1111110289,R,CCI,A
1111110290,R,CCI,A
1111110291,R,CCI,A
1111110292,R,CCI,A
1111110293,R,CCI,A
1111110294,R,CCI,A
1111110295,R,CCI,A
1111110296,R,CCI,A
1111110297,R,CCI,A
1111110298,R,CCI,A
1111110299,R,CCI,A
1111110300,B,TouchTone,A
1111110301,B,TouchTone,A
1111110302,B,TouchTone,I
1111110303,B,TouchTone,I
1111110304,B,TouchTone,I
1111110305,B,TouchTone,I
1111110306,B,TouchTone,I
1111110307,B,TouchTone,I
1111110308,B,TouchTone,A
1111110309,B,TouchTone,A
1111110310,B,TouchTone,I
1111110311,B,TouchTone,I
1111110312,B,TouchTone,A
1111110313,B,TouchTone,A
1111110314,B,TouchTone,I
1111110315,B,TouchTone,I
1111110316,B,TouchTone,I
1111110317,B,TouchTone,I
1111110318,B,TouchTone,I
1111110319,B,TouchTone,I
1111110320,B,TouchTone,I
1111110321,B,TouchTone,I
1111110322,B,TouchTone,I
1111110323,B,TouchTone,I
1111110324,B,TouchTone,I
1111110325,B,TouchTone,I
1111110326,B,TouchTone,I
1111110327,B,TouchTone,I
1111110328,B,TouchTone,I
1111110329,B,TouchTone,I
1111110330,B,TouchTone,I
1111110331,B,TouchTone,I
1111110332,B,TouchTone,I
1111110333,B,TouchTone,I
1111110334,B,TouchTone,I
1111110335,B,TouchTone,I
1111110336,B,TouchTone,I
1111110337,B,TouchTone,I
1111110338,B,TouchTone,I
1111110339,B,TouchTone,I
1111110340,B,TouchTone,I
1111110341,B,TouchTone,I
1111110342,B,TouchTone,I
1111110343,B,TouchTone,I
1111110344,B,TouchTone,I
1111110345,B,TouchTone,I
1111110346,B,TouchTone,I
1111110347,B,TouchTone,I
1111110348,B,TouchTone,I
1111110349,B,TouchTone,I
1111110350,B,TouchTone,I
1111110351,B,TouchTone,I
1111110352,B,TouchTone,I
1111110353,B,TouchTone,I
1111110354,B,TouchTone,I
1111110355,B,TouchTone,I
1111110356,B,TouchTone,I
1111110357,B,TouchTone,I
1111110358,B,TouchTone,I
1111110359,B,TouchTone,I
1111110360,B,TouchTone,I
1111110361,B,TouchTone,I
1111110362,B,TouchTone,I
1111110363,B,TouchTone,I
1111110364,B,TouchTone,I
1111110365,B,TouchTone,I
1111110366,B,TouchTone,I
1111110367,B,TouchTone,I
1111110368,B,TouchTone,I
1111110369,B,TouchTone,I
1111110370,B,TouchTone,A
1111110371,B,TouchTone,I
1111110372,B,TouchTone,I
1111110373,B,TouchTone,I
1111110374,B,TouchTone,I
1111110375,B,TouchTone,I
1111110376,B,TouchTone,I
1111110377,B,TouchTone,I
1111110378,B,TouchTone,I
1111110379,B,TouchTone,I
1111110380,B,TouchTone,I
1111110381,B,TouchTone,I
1111110382,B,TouchTone,I
1111110383,B,TouchTone,I
1111110384,B,TouchTone,I
1111110385,B,TouchTone,I
1111110386,B,TouchTone,I
1111110387,B,TouchTone,I
1111110388,B,TouchTone,I
1111110389,B,TouchTone,I
1111110390,B,TouchTone,I
1111110391,B,TouchTone,I
1111110392,B,TouchTone,I
1111110393,B,TouchTone,I
1111110394,B,TouchTone,I
1111110395,B,TouchTone,I
1111110396,B,TouchTone,I
1111110397,B,TouchTone,I
1111110398,B,TouchTone,I
1111110399,B,TouchTone,I
1111110400,B,CCI,A
1111110401,B,CCI,I
1111110402,B,CCI,I
1111110403,B,CCI,I
1111110404,B,CCI,I
1111110405,B,CCI,I
1111110406,B,CCI,A
1111110407,B,CCI,A
1111110408,B,CCI,A
1111110409,B,CCI,A
1111110410,B,CCI,A
1111110411,B,CCI,A
1111110412,B,CCI,I
1111110413,B,CCI,I
1111110414,B,CCI,I
1111110415,B,CCI,I
1111110416,B,CCI,A
1111110417,B,CCI,A
1111110418,B,CCI,A
1111110419,B,CCI,A
1111110420,B,CCI,A
1111110421,B,CCI,A
1111110422,B,CCI,A
1111110423,B,CCI,A
1111110424,B,CCI,A
